phosphor	compound.n.02,synthetic.n.01
accommodating_IOL	lens_implant.n.01,implant.n.01
Pearl_River	stream.n.01,river.n.01
Whittle	engineer.n.01,aeronautical_engineer.n.01
power_brake	brake.n.01,restraint.n.06
Tarabulus	city.n.01,municipality.n.01
Tarabulus	geographic_point.n.01,port.n.01
Sir_Frank_Whittle	engineer.n.01,aeronautical_engineer.n.01
Rutilus_rutilus	cyprinid.n.01,cypriniform_fish.n.01
Edgeworth-Kuiper_belt	location.n.01,region.n.01
Mawlamyine	city.n.01,municipality.n.01
Mawlamyine	geographic_point.n.01,port.n.01
shadow_box	container.n.01,box.n.01
Lake_Malawi	body_of_water.n.01,lake.n.01
Moulmein	city.n.01,municipality.n.01
Moulmein	geographic_point.n.01,port.n.01
Uruguay_River	stream.n.01,river.n.01
Arcado-Cyprians	group.n.01,citizenry.n.01
output_device	electronic_equipment.n.01,peripheral.n.01
Cialis	virility_drug.n.01,drug.n.01
pre-Socratic	scholar.n.01,philosopher.n.01
paleographer	anthropologist.n.01,archeologist.n.01
dolichocephalic	person.n.01,adult.n.01
Herculius	emperor.n.01,roman_emperor.n.01
multi-billionaire	person.n.01,rich_person.n.01
procrustean_rule	system_of_measurement.n.01,standard.n.01
cuckoldom	marriage.n.01,marital_status.n.01
one-sixty-fourth	fraction.n.03,common_fraction.n.01
mambo	dancing.n.01,performing_arts.n.01,diversion.n.01
Fifth_Lateran_Council	council.n.02,lateran_council.n.01
hostile	force.n.04,military_personnel.n.01
platinum_blonde	person.n.01,blond.n.01
Gongorism	expressive_style.n.01,euphuism.n.01
Tabernacles	jewish_holy_day.n.01,religious_holiday.n.01
Tabernacles	festival.n.01,religious_festival.n.01
Tabernacles	building.n.01,place_of_worship.n.01,temple.n.01
Tabernacles	sanctuary.n.01,place.n.02
Toyota	city.n.01,municipality.n.01
brachycephaly	quality.n.01,attribute.n.02
Alep	city.n.01,municipality.n.01
toolhouse	shed.n.01,outbuilding.n.01
backup_system	computer_system.n.01,system.n.01
nonpartisan	causal_agent.n.01,person.n.01,organism.n.01
striate_area	area.n.03,cortical_area.n.01
Manx	gaelic.n.01,celtic.n.01
Manx	domestic_cat.n.01,cat.n.01,domestic_animal.n.01
Potemkin	serviceman.n.01,military_officer.n.01
Potemkin	leader.n.01,politician.n.02
Iberian	asian.n.01,european.n.01,person_of_color.n.01,inhabitant.n.01
Transylvanian_Alps	range.n.04,geological_formation.n.01
frizz	condition.n.01,state.n.02
homeroom	classroom.n.01,room.n.01
Women's_Army_Corps	corps.n.01,army_unit.n.01
phytochemistry	chemistry.n.01,organic_chemistry.n.01
instant_coffee	beverage.n.01,coffee.n.01
exotherm	chemical.n.01,compound.n.02
Machu_Picchu	fortress.n.01,defensive_structure.n.01
totalitarian_state	government.n.01,polity.n.02
Nafud	biome.n.01,desert.n.01,tract.n.01
Katowice	city.n.01,municipality.n.01
mismatch	counterpart.n.01,equivalent.n.01
hypercatalectic	line.n.05,line_of_poetry.n.01
Armerican_cheddar	cheese.n.01,food.n.02,dairy_product.n.01
New_Forest	region.n.03,geographical_area.n.01
Calixtus_II	pope.n.01,catholic.n.01,spiritual_leader.n.01
velar_consonant	consonant.n.01,phone.n.02
interstate	highway.n.01,road.n.01
survey_mile	linear_unit.n.01,unit_of_measurement.n.01
Julian_the_Apostate	emperor.n.01,roman_emperor.n.01
asthmatic	causal_agent.n.01,person.n.01,organism.n.01
dorsal_root	nerve.n.01,sensory_nerve.n.01
sauce_Espagnole	condiment.n.01,sauce.n.01
Benedict_XV	pope.n.01,catholic.n.01,spiritual_leader.n.01
arachnophobia	zoophobia.n.01,simple_phobia.n.01
divine_right_of_kings	belief.n.01,doctrine.n.01
IE	browser.n.02,application.n.04
Thar_Desert	biome.n.01,desert.n.01,tract.n.01
counterterrorist	causal_agent.n.01,person.n.01,organism.n.01
Gipsy	workman.n.01,laborer.n.01
Gipsy	asian.n.01,indian.n.02
Henri_Pitot	scientist.n.01,physicist.n.01
Tetrazzini	nutriment.n.01,dish.n.02
Genoese	european.n.01,italian.n.01
recombinant_protein	protein.n.01,macromolecule.n.01
clopping	happening.n.01,sound.n.04
Succos	jewish_holy_day.n.01,religious_holiday.n.01
Succos	festival.n.01,religious_festival.n.01
night_life	diversion.n.01,entertainment.n.01,activity.n.01
Fellini	film_maker.n.01,producer.n.02
Bench	table.n.02,seat.n.03,worktable.n.01,furniture.n.01
Bench	highland.n.01,tableland.n.01
Bench	body.n.02,administration.n.02
Bench	gathering.n.01,assembly.n.04
Bench	group.n.01,subgroup.n.01
Horney	specialist.n.02,psychiatrist.n.01
British_West_Africa	district.n.01,region.n.03
Noah's_flood	geological_phenomenon.n.01,flood.n.01
quarter_pound	avoirdupois_unit.n.01,mass_unit.n.01
major_fast_day	religious_holiday.n.01,fast_day.n.01
telefilm	movie.n.01,product.n.02,show.n.03
Mausoleum_at_Halicarnasus	mausoleum.n.01,burial_chamber.n.01
Heinrich_Theodor_Boell	writer.n.01,communicator.n.01
distressingness	quality.n.01,attribute.n.02
optical_density	compactness.n.02,density.n.01
aspersorium	basin.n.01,vessel.n.03
aspersorium	device.n.01,instrumentality.n.03
Sayda	city.n.01,municipality.n.01
Sennenhunde	working_dog.n.01,dog.n.01
Saint_Gregory_I	doctor_of_the_church.n.01,theologian.n.01
Saint_Gregory_I	pope.n.01,catholic.n.01,spiritual_leader.n.01
Saint_Gregory_I	saint.n.01,deity.n.01
adhocracy	social_group.n.01,organization.n.01
Piedmont	region.n.03,geographical_area.n.01
Piedmont	geological_formation.n.01,slope.n.01
Piedmont	italian_region.n.01,state.n.01
brachycephalic	person.n.01,adult.n.01
Walkman	reproducer.n.01,stereo.n.01
colorcast	broadcast.n.02,television_program.n.01
grey_willow	tree.n.01,willow.n.01
labiodental_consonant	consonant.n.01,phone.n.02
commonwealth_country	political_unit.n.01,state.n.04
neotony	state.n.02,attribute.n.02
egalite	status.n.01,equality.n.02
swivet	panic.n.01,fear.n.01
gigabit	computer_memory_unit.n.01,unit_of_measurement.n.01
emeritus	retiree.n.01,nonworker.n.01
hot-button_issue	issue.n.01,content.n.05
immunocompetence	quality.n.01,ability.n.01
reenactment	activity.n.01,performing_arts.n.01,acting.n.01
Mackem	english_person.n.01,britisher.n.01
Feast_of_Tabernacles	jewish_holy_day.n.01,religious_holiday.n.01
Feast_of_Tabernacles	festival.n.01,religious_festival.n.01
dry_plate_process	process.n.06,photography.n.02
Huntington	doctor.n.01,medical_practitioner.n.01
Huntington	nationalist_leader.n.01,american_revolutionary_leader.n.01
Huntington	businessman.n.01,businessperson.n.01
Huntington	city.n.01,municipality.n.01
garnishee	jobholder.n.01,earner.n.01
North_American_Free_Trade_Agreement	free_trade.n.01,trade.n.01
Lena_Calhoun_Horne	actress.n.01,actor.n.01
Lena_Calhoun_Horne	musician.n.01,singer.n.01
IBDA-C	political_movement.n.01,terrorist_organization.n.01
lactate	salt.n.01,organic_compound.n.01,compound.n.02,ester.n.01
chorizo	meat.n.01,sausage.n.01
full_faith_and_credit	assurance.n.02,guarantee.n.02
groundlessness	worthlessness.n.01,quality.n.01
hypertensive	case.n.06,sick_person.n.01,patient.n.01
Oliver_Ellsworth	judge.n.01,chief_justice.n.01
Teresa_of_Avila	saint.n.01,deity.n.01
post-menopause	state.n.02,maturity.n.02
Mendelian	follower.n.01,person.n.01
Gulf_of_Martaban	gulf.n.01,body_of_water.n.01
looping_ill	animal_disease.n.01,disease.n.01
Paris	town.n.01,national_capital.n.01,city.n.01,municipality.n.01,capital.n.03
Paris	plant_genus.n.01,genus.n.02
Paris	mythical_being.n.01,imaginary_being.n.01
equidistribution	arrangement.n.03,distribution.n.01
buck_sergeant	police_sergeant.n.01,lawman.n.01
cosmic_string	elementary_particle.n.01,particle.n.02
Uuq	substance.n.01,chemical_element.n.01
D.A.	doctor's_degree.n.01,academic_degree.n.01
bellicosity	disagreeableness.n.02,aggressiveness.n.03
glipizide	antidiabetic.n.01,medicine.n.02
Sears_Tower	building.n.01,skyscraper.n.01
Vetluga	stream.n.01,river.n.01
civil_libertarian	libertarian.n.01,advocate.n.01
aromatherapy	therapy.n.01,medical_care.n.01
agnomen	language_unit.n.01,name.n.01
special_K	general_anesthetic.n.01,club_drug.n.01,ketamine.n.01
three-year-old_horse	racehorse.n.01,horse.n.01
read-out	signal.n.01,output_signal.n.01
read-out	message.n.02,information.n.01
read-out	device.n.01,electronic_device.n.01
Cepheus	mythical_being.n.01,imaginary_being.n.01
Cepheus	constellation.n.02,natural_object.n.01
nosedive	decline.n.01,decrease.n.02
nosedive	motion.n.06,descent.n.03
Benedict_XIV	pope.n.01,catholic.n.01,spiritual_leader.n.01
sudatory	drug.n.01,medicine.n.02
sudatory	house.n.12,bathhouse.n.02
Isabella_the_Catholic	queen.n.02,female_aristocrat.n.01
brochette	skewer.n.01,spit.n.03
Ebonics	american_english.n.01,english.n.01
pizzicato	auditory_communication.n.01,music.n.01
cyma_recta	cyma.n.01,molding.n.02
ambulatory	walk.n.05,path.n.02
gentlefolk	people.n.01,folk.n.01
seventy-eight	large_integer.n.01,integer.n.01
seventy-eight	phonograph_record.n.01,sound_recording.n.01
Jungian	follower.n.01,person.n.01
broken_heart	sorrow.n.01,sadness.n.01
Volta	scientist.n.01,physicist.n.01
Volta	stream.n.01,river.n.01
plant_cell	living_thing.n.01,cell.n.02
shnorrer	beggar.n.01,moocher.n.01
procrustean_standard	system_of_measurement.n.01,standard.n.01
film_making	devising.n.01,production.n.01
matchmaking	intervention.n.01,mediation.n.02
ventral_root	motor_nerve.n.01,nerve.n.01
Landsmaal	norwegian.n.02,scandinavian.n.02
zinc_sulfide	sulfide.n.01,compound.n.02
mebibit	computer_memory_unit.n.01,unit_of_measurement.n.01
SCPO	noncommissioned_officer.n.01,petty_officer.n.01
gesso	plaster_of_paris.n.01,mineral.n.01,calcium_sulphate.n.01,gypsum.n.01
hypotensive	case.n.06,sick_person.n.01,patient.n.01
satinette	fabric.n.01,artifact.n.01
Juan_Ponce_de_Leon	explorer.n.01,navigator.n.03
Congregation_of_the_Inquisition	court.n.01,inquisition.n.01
fluorescent_fixture	fixture.n.01,lighting_fixture.n.01
Third_Lateran_Council	council.n.02,lateran_council.n.01
Karaites	sect.n.01,religion.n.02
court_of_law	court.n.01,assembly.n.04
Black_English_Vernacular	american_english.n.01,english.n.01
Doris	deity.n.01,greek_deity.n.01
Doris	location.n.01,region.n.01
Santa_Sofia	museum.n.01,depository.n.01
Aton	deity.n.01,egyptian_deity.n.01
epithalamium	lyric.n.02,ode.n.01
fly_floor	horizontal_surface.n.01,platform.n.01
Oklahoman	american.n.01,inhabitant.n.01
Edward_VI	king_of_england.n.01,king.n.01
CD4	glycoprotein.n.01,conjugated_protein.n.01
Parisienne	parisian.n.01,frenchman.n.01
roadkill	body.n.03,natural_object.n.01
Chukchi_Sea	sea.n.01,body_of_water.n.01
boulevardier	traveler.n.01,visitor.n.01
phalangist	fascist.n.01,rightist.n.01
kitchen_police	serviceman.n.01,enlisted_person.n.01
Howe	skilled_worker.n.01,editor.n.01
Howe	hockey_player.n.01,athlete.n.01,player.n.01
Howe	advocate.n.01,suffragist.n.01
Howe	inventor.n.01,creator.n.02
mycophagy	eating.n.01,consumption.n.01
Hungarian_pointer	pointer.n.04,sporting_dog.n.01
doctorspeak	jargon.n.03,expressive_style.n.01
Huambo	city.n.01,municipality.n.01
cyma_reversa	cyma.n.01,molding.n.02
moonlighter	person.n.01,worker.n.01
Tanga	tajikistani_monetary_unit.n.01,monetary_unit.n.01
Tanga	city.n.01,municipality.n.01
Tanga	geographic_point.n.01,port.n.01
stanhope	carriage.n.02,horse-drawn_vehicle.n.01
symposiast	participant.n.01,attendant.n.02
fanjet	jet.n.01,airplane.n.01
fanjet	jet_engine.n.01,reaction-propulsion_engine.n.01
Upper_Tunguska	stream.n.01,river.n.01
generally_accepted_accounting_principles	group.n.01,collection.n.01
hire	employee.n.01,worker.n.01
hire	act.n.02,event.n.01
Marquis_de_Condorcet	mathematician.n.01,scientist.n.01
Marquis_de_Condorcet	scholar.n.01,philosopher.n.01
Sind	location.n.01,region.n.01
primary_color	color.n.01,visual_property.n.01
obsessive-compulsive	neurotic.n.01,sick_person.n.01
tetroxide	oxide.n.01,compound.n.02
authoritarian_regime	government.n.01,polity.n.02
M	metric_linear_unit.n.01,computer_memory_unit.n.01,linear_unit.n.01,metric_unit.n.01,unit_of_measurement.n.01
M	property.n.02,concentration.n.01
M	large_integer.n.01,integer.n.01
M	letter.n.02,character.n.08
Germanist	specialist.n.01,expert.n.01
Hakka_dialect	chinese.n.01,sinitic.n.01
Eibit	computer_memory_unit.n.01,unit_of_measurement.n.01
broadcast_station	station.n.01,facility.n.01
ETF	mutual_fund.n.01,fund.n.01
Lena_Horne	actress.n.01,actor.n.01
Lena_Horne	musician.n.01,singer.n.01
Espagnole	condiment.n.01,sauce.n.01
William_Ashley_Sunday	evangelist.n.01,preacher.n.01
zettabyte	computer_memory_unit.n.01,unit_of_measurement.n.01
Chassidism	judaism.n.02,orthodox_judaism.n.02
arccotangent	function.n.01,trigonometric_function.n.01
fascista	fascist.n.01,rightist.n.01
Gibit	computer_memory_unit.n.01,unit_of_measurement.n.01
Contras	force.n.04,guerrilla_force.n.01
Contras	central_american.n.01,nicaraguan.n.01
Clement_XI	pope.n.01,catholic.n.01,spiritual_leader.n.01
sexual_attraction	quality.n.01,attraction.n.03
east-west_direction	path.n.03,direction.n.01
unicameral_script	type.n.04,font.n.01
absorbance	compactness.n.02,density.n.01
Followers_of_the_Phrophet	political_movement.n.01,terrorist_organization.n.01
maiden_flight	flight.n.02,air_travel.n.01
St._Irenaeus	doctor_of_the_church.n.01,theologian.n.01,church_father.n.01
St._Irenaeus	saint.n.01,deity.n.01
atomic_number_112	substance.n.01,chemical_element.n.01
Phocoena	mammal_genus.n.01,genus.n.02
prolegomenon	section.n.01,introduction.n.02
Mibit	computer_memory_unit.n.01,unit_of_measurement.n.01
Marylander	american.n.01,inhabitant.n.01
nail_removal	persecution.n.01,torture.n.05
Rappahannock_River	stream.n.01,river.n.01
tradespeople	group.n.01,people.n.01
Bull_Run	brook.n.01,stream.n.01
Bull_Run	battle.n.01,pitched_battle.n.01
Rg	substance.n.01,chemical_element.n.01
Chihuahuan_Desert	biome.n.01,desert.n.01,tract.n.01
tax_cut	cut.n.19,decrease.n.04
Malti	semitic.n.01,afroasiatic.n.01
cinchonine	organic_compound.n.01,alkaloid.n.01
Urban_VIII	pope.n.01,catholic.n.01,spiritual_leader.n.01
microfarad	capacitance_unit.n.01,electromagnetic_unit.n.01
thirty-second	fraction.n.03,common_fraction.n.01
perishability	quality.n.01,unsatisfactoriness.n.01
Contra	central_american.n.01,nicaraguan.n.01
polytheist	theist.n.01,believer.n.02
timeline	chronology.n.02,written_record.n.01
rich	group.n.01,people.n.01
Savoy	region.n.03,geographical_area.n.01
Savoy	head_cabbage.n.02,cabbage.n.01
Luik	city.n.01,municipality.n.01
langlaufer	athlete.n.01,skier.n.01
hiddenness	isolation.n.01,privacy.n.02
darner	mender.n.01,skilled_worker.n.01
Liege	follower.n.01,person.n.01
Liege	overlord.n.01,feudal_lord.n.01
Liege	city.n.01,municipality.n.01
great_grey_owl	owl.n.01,bird_of_prey.n.01
Bush_administration	executive.n.02,administration.n.02
partita	theme.n.03,variation.n.03
partita	musical_composition.n.01,suite.n.01
NSF	agency.n.01,independent_agency.n.01
ununquadium	substance.n.01,chemical_element.n.01
two-note_call	animal_communication.n.01,birdcall.n.01
grey_alder	alder.n.02,tree.n.01
gerontocracy	political_system.n.01,social_group.n.01
Lyons	city.n.01,municipality.n.01
Lyons	council.n.02,assembly.n.04
salability	quality.n.01,attribute.n.02
barratry	traffic.n.02,commerce.n.01
barratry	felony.n.01,bribery.n.01,fraud.n.01,transgression.n.01,crime.n.01
Halab	city.n.01,municipality.n.01
totalitation_regime	government.n.01,polity.n.02
smoked_eel	eel.n.01,fish.n.02
Society_of_Jesus	sect.n.01,order.n.11
Lake_Keuka	body_of_water.n.01,lake.n.01
Taconic_Mountains	range.n.04,geological_formation.n.01
ringway	highway.n.01,road.n.01
gemmule	hypothesis.n.02,concept.n.01
Lorenzo_de'Medici	scholar.n.01,intellectual.n.01
Lorenzo_de'Medici	statesman.n.01,politician.n.02
Sunderland	geographic_point.n.01,port.n.01
Sunderland	town.n.01,municipality.n.01
alkylating_agent	antineoplastic.n.01,cytotoxic_drug.n.01
bereaved_person	causal_agent.n.01,person.n.01,organism.n.01
inverse_sine	function.n.01,trigonometric_function.n.01
Anne	queen_of_england.n.01,queen.n.02
Office_of_the_Dead	office.n.06,rite.n.01
Innocent_VIII	pope.n.01,catholic.n.01,spiritual_leader.n.01
Angara_River	stream.n.01,river.n.01
Sylvester_II	pope.n.01,catholic.n.01,spiritual_leader.n.01
beltway	highway.n.01,road.n.01
Battle_of_Bull_Run	battle.n.01,pitched_battle.n.01
GAAP	group.n.01,collection.n.01
rollerblader	roller-skater.n.01,skater.n.01
Council_of_Vienne	council.n.02,assembly.n.04
Assyrian_Neo-Aramaic	aramaic.n.01,semitic.n.01
giant_hives	swelling.n.01,edema.n.01
NAFTA	free_trade.n.01,trade.n.01
Rip_van_Winkle	traditionalist.n.01,conservative.n.01
Rip_van_Winkle	rester.n.01,sleeper.n.01
Rip_van_Winkle	imaginary_being.n.01,fictional_character.n.01
Eb	computer_memory_unit.n.01,unit_of_measurement.n.01
sarcenet	fabric.n.01,silk.n.01
Succoth	jewish_holy_day.n.01,religious_holiday.n.01
Succoth	festival.n.01,religious_festival.n.01
Carl_Nielsen	musician.n.02,composer.n.01
Grotius	official.n.01,diplomat.n.01
Grotius	jurist.n.01,expert.n.01
Giacomo_della_Chiesa	pope.n.01,catholic.n.01,spiritual_leader.n.01
gam	animal_group.n.01,herd.n.02
svoboda	freedom.n.01,state.n.02
tall	size.n.02,property.n.02
Rosa_Melba_Ponselle	soprano.n.01,singer.n.01
Antonio_Pignatelli	pope.n.01,catholic.n.01,spiritual_leader.n.01
Al_Hirschfeld	artist.n.01,creator.n.02
Giannangelo_Braschi	pope.n.01,catholic.n.01,spiritual_leader.n.01
duodecimal_notation	notation.n.01,mathematical_notation.n.01
Neurontin	medicine.n.02,anticonvulsant.n.01
Lamarckian	follower.n.01,person.n.01
Greco-Roman_wrestling	wrestling.n.02,contact_sport.n.01
Giovanni_Vincenzo_Pecci	pope.n.01,catholic.n.01,spiritual_leader.n.01
Talien	city.n.01,municipality.n.01
Talien	geographic_point.n.01,port.n.01
Taklamakan_Desert	biome.n.01,desert.n.01,tract.n.01
trench_warfare	war.n.03,conflict.n.01
trench_warfare	combat.n.01,battle.n.01
kibibit	computer_memory_unit.n.01,unit_of_measurement.n.01
incognizance	knowing.n.01,higher_cognitive_process.n.01
Shakespearian	scholar.n.01,intellectual.n.01
high_country	region.n.03,area.n.01
workwear	apparel.n.01,clothing.n.01
Gregory_I	doctor_of_the_church.n.01,theologian.n.01
Gregory_I	pope.n.01,catholic.n.01,spiritual_leader.n.01
Gregory_I	saint.n.01,deity.n.01
Charles_River	stream.n.01,river.n.01
exabyte	computer_memory_unit.n.01,unit_of_measurement.n.01
nonpartizan	causal_agent.n.01,person.n.01,organism.n.01
Santa_Sophia	museum.n.01,depository.n.01
blood-oxygenation_level_dependent_functional_magnetic_resonance_imaging	magnetic_resonance_imaging.n.01,functional_magnetic_resonance_imaging.n.01
heterozygote	cell.n.02,zygote.n.01
memorability	quality.n.01,attribute.n.02
Seven_Wonders_of_the_World	structure.n.01,memorial.n.03
pick-off	baseball_play.n.01,maneuver.n.03
Hades	deity.n.01,greek_deity.n.01
Hades	imagination.n.01,imaginary_place.n.01
princeling	aristocrat.n.01,prince.n.01
salutatory_oration	oratory.n.01,address.n.03
Tongan	polynesian.n.01,austronesian.n.01
Tongan	austronesian.n.02,malayo-polynesian.n.01
Teton_Dakota	sioux.n.01,plains_indian.n.01
Achaean	european.n.01,greek.n.02
Achaean	group.n.01,citizenry.n.01
Euclidean_axiom	proposition.n.01,axiom.n.02
Black_English	american_english.n.01,english.n.01
rancidness	taste_property.n.01,property.n.02,olfactory_property.n.01
parlay	gambling.n.01,bet.n.02
Konqueror	browser.n.02,application.n.04
catarrhal_fever	animal_disease.n.01,disease.n.01
Eelam	political_unit.n.01,state.n.04
Gerbert	pope.n.01,catholic.n.01,spiritual_leader.n.01
weightlift	bodybuilding.n.01,exercise.n.01
Taklimakan_Desert	biome.n.01,desert.n.01,tract.n.01
linguistic_competence	competence.n.01,ability.n.01
horn_of_plenty	representational_process.n.01,symbol.n.02
Mujahedeen_Kompak	political_movement.n.01,terrorist_organization.n.01
Sun_Valley	town.n.01,municipality.n.01
Aalst	town.n.01,municipality.n.01
procrustean_bed	system_of_measurement.n.01,standard.n.01
grey_snapper	percoid_fish.n.01,snapper.n.05,food_fish.n.01
Limnodromus_griseus	snipe.n.01,dowitcher.n.01
Canadian_Shield	highland.n.01,tableland.n.01
grey_kingbird	new_world_flycatcher.n.01,kingbird.n.01
area_17_of_Brodmann	area.n.03,cortical_area.n.01
hybrid_vigor	tendency.n.03,disposition.n.04
economic_libertarian	libertarian.n.01,advocate.n.01
atrophedema	swelling.n.01,edema.n.01
Rosario	city.n.01,municipality.n.01
one-thirty-second	fraction.n.03,common_fraction.n.01
superstratum	stratum.n.01,layer.n.02
superstratum	language.n.01,communication.n.02
heterometabolism	metamorphosis.n.01,organic_process.n.01
al_Sunna_Wal_Jamma	political_movement.n.01,terrorist_organization.n.01
Castillian	spaniard.n.01,european.n.01
mumble	auditory_communication.n.01,utterance.n.01
gimbal	device.n.01,appliance.n.01
ununbium	substance.n.01,chemical_element.n.01
movie_making	devising.n.01,production.n.01
sixty-fourth	fraction.n.03,common_fraction.n.01
Maltese	european.n.01,inhabitant.n.01
Maltese	semitic.n.01,afroasiatic.n.01
Maltese	cat.n.01,toy_dog.n.01,domestic_animal.n.01,domestic_cat.n.01,dog.n.01
Freon	greenhouse_gas.n.01,chlorofluorocarbon.n.01,fluorocarbon.n.01,pollutant.n.01
Akwa'ala	indian.n.01,hokan.n.02
Akwa'ala	community.n.01,gathering.n.01
Akwa'ala	hokan.n.01,yuman.n.01
fleer	causal_agent.n.01,person.n.01,organism.n.01
fleer	disrespect.n.01,contempt.n.03
retinopathy	eye_disease.n.01,disease.n.01
semi-climber	vine.n.01,vascular_plant.n.01
julienne	produce.n.01,vegetable.n.01
julienne	dish.n.02,soup.n.01
arcsec	function.n.01,trigonometric_function.n.01
Johnny_Cash	musician.n.01,singer.n.01
steady_state_theory	theory.n.01,scientific_theory.n.01
Northamptonshire	region.n.01,county.n.01
downstage	stage.n.03,platform.n.01
decantation	transfusion.n.02,action.n.01
post_house	hotel.n.01,hostel.n.01
whoosh	sound.n.04,noise.n.01
Marines	force.n.04,military_service.n.01
Marines	serviceman.n.01,enlisted_person.n.01,skilled_worker.n.01,soldier.n.01
Toltec	nahuatl.n.01,indian.n.01
Hagia_Sophia	museum.n.01,depository.n.01
Charles_Stuart	king_of_england.n.01,king.n.01
social_insect	arthropod.n.01,insect.n.01
gimcrack	decoration.n.01,artifact.n.01
Tb	chemical_element.n.01,metallic_element.n.01
Tb	communicable_disease.n.01,infectious_disease.n.01
Tb	computer_memory_unit.n.01,unit_of_measurement.n.01
Signora	wife.n.01,spouse.n.01,woman.n.01
Signora	appellation.n.01,title.n.06
vermiculite	mineral.n.01,material.n.01
commute	travel.n.01,journey.n.01
Pepin	king.n.01,sovereign.n.01,carolingian.n.01
Henry_Tudor	king_of_england.n.01,king.n.01
triple_time	time.n.05,musical_time.n.01
western_grey_squirrel	squirrel.n.01,tree_squirrel.n.01
Finger_Lakes	region.n.03,geographical_area.n.01
darmstadtium	substance.n.01,chemical_element.n.01
Hirschfeld	artist.n.01,creator.n.02
American_cheese	cheese.n.01,food.n.02,dairy_product.n.01
Angora_cat	domestic_cat.n.01,cat.n.01,domestic_animal.n.01
battle_of_Spotsylvania_Courthouse	battle.n.01,pitched_battle.n.01
water-color	paint.n.01,coloring_material.n.01,pigment.n.01,water-base_paint.n.01
water-color	painting.n.01,graphic_art.n.01
water-color	fine_arts.n.01,art.n.02,painting.n.02
Ch'in_Shih_Huang_Ti	emperor.n.01,sovereign.n.01
Harper's_Ferry	town.n.01,municipality.n.01
element_109	substance.n.01,chemical_element.n.01
purlieu	region.n.03,geographical_area.n.01
vaporiser	device.n.01,instrumentality.n.03
Flavius_Claudius_Julianus	emperor.n.01,roman_emperor.n.01
timber_tree	woody_plant.n.01,tree.n.01
labour_camp	penal_institution.n.01,camp.n.05
dinette	room.n.01,area.n.05
Adelie_Coast	region.n.03,geographical_area.n.01
Caloosahatchee_Canal	canal.n.03,watercourse.n.03
greyhen	grouse.n.02,black_grouse.n.01
senior_chief_petty_officer	noncommissioned_officer.n.01,petty_officer.n.01
radiatio_optica	nerve_pathway.n.01,white_matter.n.01
normal_tension_glaucoma	glaucoma.n.01,eye_disease.n.01
Cyrano_de_Bergerac	dramatist.n.01,writer.n.01
Cyrano_de_Bergerac	soldier.n.01,enlisted_person.n.01
ovaritis	inflammation.n.01,symptom.n.01
perishableness	quality.n.01,unsatisfactoriness.n.01
ready-to-wear	consumer_goods.n.01,clothing.n.01,covering.n.02
uxoricide	spouse.n.01,husband.n.01
uxoricide	murder.n.01,homicide.n.01
valdecoxib	cox-2_inhibitor.n.01,anti-inflammatory.n.01
Anser_anser	anseriform_bird.n.01,goose.n.01
Stalin_Peak	peak.n.04,mountain_peak.n.01
James_River	stream.n.01,river.n.01
Cartesian	follower.n.01,person.n.01
Transylvania	location.n.01,region.n.01
terabit	computer_memory_unit.n.01,unit_of_measurement.n.01
evolutionist	supporter.n.01,believer.n.01
wattmeter	measuring_instrument.n.01,instrument.n.01
bristliness	roughness.n.01,texture.n.01
Saida	city.n.01,municipality.n.01
Terre_Adelie	region.n.03,geographical_area.n.01
Assumption	proposition.n.01,postulate.n.01
Assumption	hypothesis.n.02,concept.n.01
Assumption	act.n.02,acquiring.n.01,miracle.n.02,event.n.01,acquisition.n.01
Assumption	christian_holy_day.n.01,holy_day_of_obligation.n.01
Assumption	audacity.n.02,boldness.n.02
anthropophagy	cannibalism.n.01,practice.n.01
formal_semantics	semantics.n.01,linguistics.n.01
Uriah	soldier.n.01,enlisted_person.n.01
Orumiyeh	city.n.01,municipality.n.01
organic_light-emitting_diode	diode.n.02,light-emitting_diode.n.01
boatyard	place.n.02,geographical_area.n.01
Oncorhynchus_keta	salmon.n.01,salmonid.n.01,food_fish.n.01
bracket_creep	income_tax.n.01,tax.n.01
Prince_Edward	aristocrat.n.01,prince.n.01
brachycephalism	quality.n.01,attribute.n.02
embroidery_stitch	sewing.n.02,stitch.n.01
feature_of_speech	concept.n.01,property.n.04
sorehead	malcontent.n.01,person.n.01
Jacques_Charles	scientist.n.01,physicist.n.01
one-ten-thousandth	fraction.n.03,common_fraction.n.01
Parthian	asian.n.01,person_of_color.n.01,inhabitant.n.01
Parthian	pahlavi.n.02,iranian.n.02
miotic_drug	drug.n.01,agent.n.03
mendicity	indigence.n.01,poverty.n.01
Tyrannus_domenicensis_domenicensis	new_world_flycatcher.n.01,kingbird.n.01
physical_entity	entity.n.01
Urban_V	pope.n.01,catholic.n.01,spiritual_leader.n.01
Valenciennes_lace	lace.n.02,pillow_lace.n.01
Riksmal	norwegian.n.02,bokmal.n.01
offside	mistake.n.01,nonaccomplishment.n.01
delta_wing	airplane.n.01,heavier-than-air_craft.n.01
Potemkin_village	fake.n.01,imitation.n.02
ddC	antiviral.n.01,medicine.n.02
eutrophication	process.n.06,organic_process.n.01
staple_fiber	natural_fiber.n.01,fiber.n.01
Zb	computer_memory_unit.n.01,unit_of_measurement.n.01
